epoch,accuracy,loss,val_accuracy,val_loss
0,0.60097325,0.6716932106192095,0.5902439,0.6412192327635629
1,0.67396593,0.6074677884143634,0.67317075,0.5641204799924578
2,0.6995134,0.5635549568201794,0.9073171,0.49195439900670734
3,0.7980535,0.4857107383491349,0.7268293,0.4657227226666042
4,0.8223844,0.43205005778883493,0.71707314,0.4945176030908312
